date,G 2,G 3,G 4,G 6,G 7,G 8,G 9,G 10,G 11,G 12,G 13,G 15,G 16,G 18,G 19,G 20,G 21,G 22,G 23,G 24
2022-02-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-5,0.01800000000000001,0.11299999999999999,0.009999999999999787,0.0909999999999993,0.10200000000000031,0.0,0.009999999999999787,0.10199999999999987,0.12699999999999978,0.0,0.01100000000000012,0.20099999999999962,0.09799999999999986,0.15999999999999978,0.20900000000000052,0.20199999999999996,0.021999999999999797,0.005999999999999783,0.0,0.193
2022-03-6,0.15600000000000014,0.18500000000000005,0.14300000000000035,0.2400000000000011,0.19699999999999962,0.0,0.08000000000000007,0.2080000000000003,0.2230000000000001,0.0,0.004999999999999893,0.3330000000000002,0.33799999999999963,0.3330000000000002,0.32899999999999974,0.3320000000000003,0.0,0.371,0.31899999999999995,0.344
2022-03-7,0.11999999999999966,0.1379999999999999,0.0960000000000002,0.13900000000000023,0.0910000000000003,0.0,0.2699999999999996,0.09099999999999975,0.07399999999999962,0.0,0.18799999999999983,0.07900000000000018,0.1030000000000002,0.052999999999999936,0.12099999999999955,0.07600000000000007,0.24099999999999966,0.10499999999999998,0.08600000000000008,0.1
2022-03-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,0.02400000000000002,0.0,0.03699999999999992,0.027000000000000135,0.0,0.0,0.0,0.03200000000000003,0.006,0.0,0.005999999999999783,0.016000000000000014,0.006000000000000227,0.04899999999999992,0.11099999999999888,0.0,0.0,0.01100000000000012,0.08000000000000007,0.089
2022-03-11,0.0479999999999996,0.09699999999999998,0.06999999999999984,0.07000000000000028,0.0,0.0,0.08999999999999986,0.04300000000000025,0.03100000000000014,0.0,0.01700000000000001,0.03699999999999992,0.053999999999999826,0.08000000000000007,0.08800000000000008,0.02200000000000024,0.0,0.07499999999999996,0.1589999999999998,0.07400000000000001
2022-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18,0.77,0.5590000000000002,0.7989999999999999,0.6689999999999988,0.621,0.9209999999999999,0.4900000000000002,0.6529999999999996,0.5720000000000003,0.8600000000000003,0.5640000000000001,0.73,0.756,0.9689999999999994,0.9509999999999996,0.841,0.9980000000000002,0.8900000000000002,0.681,0.955
2022-03-19,0.041999999999999815,0.06599999999999984,0.04800000000000015,0.07499999999999996,0.053000000000000484,0.04999999999999982,0.09000000000000075,0.027000000000000135,0.021000000000000015,0.040000000000000036,0.06699999999999973,0.053000000000000595,0.04900000000000038,0.07500000000000018,0.07099999999999973,0.07099999999999995,0.09999999999999964,0.0950000000000002,0.026999999999999906,0.034
2022-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.0,0.029999999999999805,0.03799999999999981,0.08499999999999996,0.0,0.07899999999999974,0.009999999999999787,0.06999999999999984,0.0,0.0,0.006000000000000227,0.09499999999999975,0.0,0.0959999999999992,0.1039999999999992,0.006000000000000227,0.0,0.04800000000000004,0.004999999999999893,0.06
2022-03-22,0.4870000000000001,0.43000000000000016,0.383,0.4399999999999993,0.2769999999999997,0.3960000000000008,0.20999999999999996,0.32699999999999974,0.238,0.17000000000000037,0.19500000000000006,0.3599999999999999,0.2280000000000002,0.36500000000000044,0.37400000000000055,0.16900000000000004,0.0,0.40700000000000003,0.31400000000000095,0.5070000000000001
2022-03-23,0.4509999999999996,0.29300000000000015,0.3939999999999997,0.39000000000000057,0.1980000000000004,0.48499999999999965,0.41999999999999993,0.3640000000000003,0.36100000000000065,0.46999999999999975,0.4540000000000002,0.32200000000000006,0.7630000000000006,0.35800000000000054,0.4009999999999999,0.3330000000000002,0.5490000000000002,0.488,0.2549999999999999,0.238
2022-03-24,0.04800000000000004,0.05600000000000005,0.02099999999999968,0.027000000000000243,0.08599999999999941,0.022999999999999687,0.08999999999999986,0.03799999999999981,0.06900000000000003,0.1200000000000001,0.08300000000000018,0.06899999999999995,0.09199999999999953,0.03799999999999937,0.08800000000000008,0.07099999999999973,0.11500000000000032,0.2060000000000004,0.14900000000000013,0.07500000000000001
2022-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003
